cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8002/Spa/Thermalbad-Spa-Zurich--CnWi39ZYNsSKYqn8hlsRw?dwhat=massage&dwhere=zurich	Thermalbad & Spa Zürich	Brandschenkestrasse 150	 8002 Zürich	044 205 96 50	www.thermalbad-zuerich.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8004/Health-and-sports-massage/Zorzi-Sada-Caterina-SrHa7r1wNfYRTIPoq_woDQ?dwhat=massage&dwhere=zurich	Zorzi Sada Caterina	St. Jakobstrasse 57	 8004 Zürich	044 212 75 09	www.frischundvital.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8004/Sauna/Stadtbad-Zurich-AG-z3vWRG9bXIIBGSlYnNWV4w?dwhat=massage&dwhere=zurich	Stadtbad Zürich AG	Stauffacherstrasse 60	 8004 Zürich	044 241 04 27	www.stadtbadzuerich.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8047/Physical-therapy/medmotion-AG-4FVgnxtfav6XQYZdlKajZg?dwhat=massage&dwhere=zurich	med&motion AG	Albisriederstrasse 243	 8047 Zürich	044 401 02 03	www.medandmotion.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8001/Spa/LABO-Spa-S2Muv_i5XcSzkQUcVFWHAQ?dwhat=massage&dwhere=zurich	LABO Spa	Talacker 41	 8001 Zürich	043 497 34 40	www.labospa.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8001/Health-and-sports-massage/GENKI-NV2s3cKUJZUyGMEDIfuqSw?dwhat=massage&dwhere=zurich	GENKI	In Gassen 7	 8001 Zürich	043 344 85 58	www.genki.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8048/Physical-therapy/Physio-7null7-4yC_htEaoGY7NhgFSPjbFQ?dwhat=massage&dwhere=zurich	Physio 7null7	Badenerstrasse 715	 8048 Zürich	043 811 43 43	www.physio7null7.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8048/Physical-therapy/Physiotherapie-Letzigrund-auOvYcpOUdvksVMvS6G1xA?dwhat=massage&dwhere=zurich	Physiotherapie Letzigrund	Badenerstrasse 551	 8048 Zürich	044 493 59 51	www.physiotherapieletzigrund.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8037/Craniosacral-therapy/Flubacher-Roman-s64BEojcwdrx5BdSO8uPBQ?dwhat=massage&dwhere=zurich	Flubacher Roman	Hönggerstrasse 117	 8037 Zürich	044 271 32 09	www.med-massagen.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8004/Cosmetic-institute/Wellness-Institut-DTKKxkYEwTHqTkFDe85bkg?dwhat=massage&dwhere=zurich	Wellness - Institut	Badenerstrasse 342	 8004 Zürich	079 735 38 16	www.wellness-institut-mannhart.ch	
