cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Hotel-DaVinci-rYaveemcxhlzNfxivex-zQ?dwhat=hotel&dwhere=zurich	Hotel DaVinci	Mühlegasse 3	 8001 Zürich	044 251 06 25		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8004/Restaurant/Greulich-Design-Lifestyle-Hotel-inVxBcV9DyG27LFbLlReLA?dwhat=hotel&dwhere=zurich	Greulich Design & Lifestyle Hotel	Herman-Greulich-Strasse 56	 8004 Zürich	043 243 42 43		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8005/Hotel/Hotel-ibis-Zurich-City-West-N2WQyzDcw5aco4cInzk5Tw?dwhat=hotel&dwhere=zurich	Hotel ibis Zurich City West	Schiffbaustrasse 11	 8005 Zürich	044 276 21 00		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8048/Apartments-studios/HITrental-AG-pflMjL8sKlXJSdondYeubg?dwhat=hotel&dwhere=zurich	HITrental AG	Hohlstrasse 413	 8048 Zürich	041 311 29 22	www.hitrental.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8003/Hotel/Mercure-Hotel-Stoller-Zurich-FhL_m63EYtSnSEQfSzJqtw?dwhat=hotel&dwhere=zurich	Mercure Hotel Stoller Zürich	Badenerstrasse 357	 8003 Zürich	044 405 47 47		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Inn/St-Josef-lezloTO2jY6rB2tfzxeMpg?dwhat=hotel&dwhere=zurich	St. Josef	Hirschengraben 64	 8001 Zürich	044 250 57 57	www.st-josef.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8050/Hotel/Holiday-Inn-Zurich-Messe-CYbvuIWp3k3YRaGnQnwkqA?dwhat=hotel&dwhere=zurich	Holiday Inn Zürich Messe	Wallisellenstrasse 48	 8050 Zürich	044 316 11 00		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8002/Hotel/Hotel-Glarnischhof-we8nEvtmLyMVJeAFZuNt8w?dwhat=hotel&dwhere=zurich	Hotel Glärnischhof	Claridenstrasse 30	 8002 Zürich	044 286 22 22		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8044/Hotel/Sorell-Hotel-Rigiblick-b8_Zm_BXOmzb2cOHV2IqdA?dwhat=hotel&dwhere=zurich	Sorell Hotel Rigiblick	Germaniastrasse 99	 8044 Zürich	043 255 15 70		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8008/Hotel/Ambassador-uI9kA8ZsNPEt5AgtQLq_QA?dwhat=hotel&dwhere=zurich	Ambassador	Falkenstrasse 6	 8008 Zürich	044 258 98 98	www.ambassadorhotel.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8002/Hotel/Engimatt-YuDsUYbrIAR8AX6qvtCzLQ?dwhat=hotel&dwhere=zurich	Engimatt	Engimattstrasse 14	 8002 Zürich	044 284 16 16	www.engimatt.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Restaurant/Hotel-Central-Plaza-Owepu5ByxfqBPhGvz2MUbw?dwhat=hotel&dwhere=zurich	Hotel Central Plaza	Hotel Central Plaza, Central 1	 8001 Zürich	044 256 56 56	www.central.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8050/Hotel/Hotel-ibis-Zurich-Messe-Airport-TB57JXzeTQp_9S8x_CzCBA?dwhat=hotel&dwhere=zurich	Hotel ibis Zürich Messe Airport	Heidi-Abel-Weg 5	 8050 Zürich	044 307 47 00	www.ibis.com	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8008/Hotel/LADYS-FIRST-dZAnL6n-wCglWBAlPoCO8w?dwhat=hotel&dwhere=zurich	LADY'S FIRST	Mainaustrasse 24	 8008 Zürich	044 380 80 10	www.ladysfirst.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8008/Apartment-building/APARTHOTEL-Familie-H-Hugenschmidt-xmlnzJGy-qNmF0xVEB0K-Q?dwhat=hotel&dwhere=zurich	APARTHOTEL Familie H. Hugenschmidt	Karlstrasse 5+ 3	 8008 Zürich	044 422 11 75	www.aparthotel.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Hotel-Adler-Zurich-vpJ7w4dUsQkM4U1Vwf8gVA?dwhat=hotel&dwhere=zurich	Hotel Adler Zürich	Rosengasse 10 /am Hirschenplatz	 8001 Zürich	044 266 96 96	www.hotel-adler.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8032/Hotel/The-Dolder-Grand-G7pc9gPFN1gI0z5b7TcF_g?dwhat=hotel&dwhere=zurich	The Dolder Grand	Kurhausstrasse 65	 8032 Zürich	044 456 60 00		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8005/Hotel/Renaissance-Zurich-Tower-Hotel-4_a-Os0T2ktMhWuJ6SEClQ?dwhat=hotel&dwhere=zurich	Renaissance Zürich Tower Hotel	Turbinenstrasse 20	 8005 Zürich	044 630 30 30		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Marktgasse-Hotel-Zurich-Q1h658IrFCED-cbdlYFueg?dwhat=hotel&dwhere=zurich	Marktgasse Hotel Zürich	Marktgasse 17	 8001 Zürich	044 266 10 10	www.marktgassehotel.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8048/Hotel/BEST-WESTERN-Hotel-Spirgarten-1lKE5D2kHp1EPqRs7nBf3w?dwhat=hotel&dwhere=zurich	BEST WESTERN Hotel Spirgarten	Lindenplatz 5	 8048 Zürich	044 438 15 15		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8006/Restaurant/Krone-Unterstrass-Zurich-VT88pxlqAVyWFbVJTmyhVA?dwhat=hotel&dwhere=zurich	Krone Unterstrass Zürich	Schaffhauserstrasse 1	 8006 Zürich	044 360 56 56		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8002/Hotel/Sheraton-Zurich-Neues-Schloss-Hotel-XSfAK4q_qwXGCW0bLYwMFA?dwhat=hotel&dwhere=zurich	Sheraton Zürich Neues Schloss Hotel	Stockerstrasse 17	 8002 Zürich	044 286 94 00		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Apartments-Swiss-Star-AG-1D1rC1MsollT50o1hAGUlw?dwhat=hotel&dwhere=zurich	Apartments Swiss Star AG	Mühlegasse 7	 8001 Zürich	043 255 57 57		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8003/Hotel/Apartments-Swiss-Star-AG-5h4GmiUMQBBZJZYvIOt_bA?dwhat=hotel&dwhere=zurich	Apartments Swiss Star AG	Dubsstrasse 30	 8003 Zürich	043 255 57 57		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8003/Hotel/Apartments-Swiss-Star-AG-k0ztMTAHLbVl0ZRsEbBXNA?dwhat=hotel&dwhere=zurich	Apartments Swiss Star AG	Zelgstrasse 19	 8003 Zürich	043 255 57 57		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8004/Hotel/Apartments-Swiss-Star-AG-8-kCP5IdDnEw_HvjtT0YxA?dwhat=hotel&dwhere=zurich	Apartments Swiss Star AG	Morgartenstrasse 15	 8004 Zürich	043 255 57 57		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8004/Hotel/Apartments-Swiss-Star-AG-GT1f2jHlDCkZOfwW_XTamA?dwhat=hotel&dwhere=zurich	Apartments Swiss Star AG	Badenerstrasse 362	 8004 Zürich	043 255 57 57		
