cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Restaurant/Restaurant-Hotel-Friedburg-izB1WqNDcMIalhbNWH4-qw?dwhat=hotel&dwhere=st.+gallen	Restaurant Hotel Friedburg	Burgstrasse 72	 9000 St. Gallen	071 277 10 93		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Guesthouse-furnishing/Kreis-AG-Gastro-und-Hotelbedarf-fJ1YHaMG9aP2g-BWCU9X0g?dwhat=hotel&dwhere=st.+gallen	Kreis AG Gastro- und Hotelbedarf	Schachenstrasse 9	 9016 St. Gallen	071 288 03 13	www.kreisgastro.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Restaurant/Walhalla-Hotel-Walhalla-vJgkhAln6OwOwYYM9iImKQ?dwhat=hotel&dwhere=st.+gallen	Walhalla, Hotel Walhalla	Bahnhofplatz, Poststrasse 27	 9000 St. Gallen	071 228 28 18		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Hollywood-Bar-und-Hotel-SmVx1OJC0pfTnDnVwYFNzg?dwhat=hotel&dwhere=st.+gallen	Hollywood Bar und Hotel	Herisauer Strasse 65	 9015 St. Gallen	071 310 20 04		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Laundry-service/Hotel-Dom-wrv73OwNEXF8nSJ2ehCXfQ?dwhat=hotel&dwhere=st.+gallen	Hotel Dom	Webergasse 22	 9000 St. Gallen	071 227 71 71		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel-Gastro-formation-SG-AR-AI-FL-bivTkNYsiDkJad26U6uwXg?dwhat=hotel&dwhere=st.+gallen	Hotel & Gastro formation SG AR AI FL	Fürstenlandstrasse 45	 9000 St. Gallen	071 272 66 33		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel-Rossli-v0tqVa1i_v8S6KUE5YKV8g?dwhat=hotel&dwhere=st.+gallen	Hotel Rössli	Zürcher Strasse 62	 9000 St. Gallen	079 841 85 07		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/Buhler/9055/Hotel/Landgasthof-Sternen-gTznYKBKakjt_QMqys0bBQ?dwhat=hotel&dwhere=st.+gallen	Landgasthof Sternen	Dorfstrasse 97	 9055 Bühler	071 793 17 58	www.sternen-appenzellerland.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/Wittenbach/9300/Hotel/Hotel-Garni-Rossli-xqU0AQawKhRdixou0aJOUw?dwhat=hotel&dwhere=st.+gallen	Hotel Garni Rössli	Romanshornerstrasse 10	 9300 Wittenbach	071 298 40 30	www.hotelroessliwittenbach.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9012/Pesticides/Kreienbuhl-Schadlingsbekampfung-VVbWXtHKz0reKK5o4YAK5g?dwhat=hotel&dwhere=st.+gallen	Kreienbühl - Schädlingsbekämpfung	Oberhofstettenstrasse 10A	 9012 St. Gallen	071 278 56 48	Go to website	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Heating-systems/TCA-Thermoclima-AG-T2b6pPq2AtFuGXdLJUUW5g?dwhat=hotel&dwhere=st.+gallen	TCA Thermoclima AG	Piccardstrasse 13	 9015 St. Gallen	071 313 99 22	www.tca.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Electronic-games/BavariaTech-AG-AoR9JkSlRE47NAWkq6GN1g?dwhat=hotel&dwhere=st.+gallen	BavariaTech AG	Speicherstrasse 60	 9000 St. Gallen	071 244 41 41	www.bavariatech.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Travel-agency/Hotelplan-MTCH-AG-xEwrrG2PF6JU5d0XgP3ifg?dwhat=hotel&dwhere=st.+gallen	Hotelplan, MTCH AG	Poststrasse 12	 9000 St. Gallen	071 228 58 00		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Home/Kursana-AG-LDKonWubYlaoagNkzlRkRw?dwhat=hotel&dwhere=st.+gallen	Kursana AG	Moosbruggstrasse 1	 9000 St. Gallen	071 228 82 82	www.spisertor.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Draperies-drapery-service/Vorhangatelier-Katja-Schwyter-FBImHxUNP3_wK0YMzLZRNg?dwhat=hotel&dwhere=st.+gallen	Vorhangatelier Katja Schwyter	Rorschacher Strasse 173	 9000 St. Gallen	071 244 60 45	www.vorhangatelier-katja.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Lighting-planning/Domus-Leuchten-und-Mobel-AG--gxJoF3jGy14raKkKZEf6A?dwhat=hotel&dwhere=st.+gallen	Domus Leuchten und Möbel AG	Davidstrasse 24	 9000 St. Gallen	071 228 20 60		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Temporary-and-permanent-employment/Adecco-Human-Resources-AG-hP8QnD4TUzFb8mvDZHTRLA?dwhat=hotel&dwhere=st.+gallen	Adecco Human Resources AG	Poststrasse 15	 9000 St. Gallen	058 233 39 80		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/forderraum-bT9VX-k6t7c7U2GivamK4A?dwhat=hotel&dwhere=st.+gallen	förderraum	Poststrasse 15	 9000 St. Gallen	071 227 14 50		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Il-Castello-SA-3HQThK8RIkYiVOn0GTg?dwhat=hotel&dwhere=st.+gallen	Il Castello	Burgstrasse 26	 9000 St. Gallen	071 534 40 11		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Kloster-Bistro-ambeez1j1TyAcM0IEtl1NA?dwhat=hotel&dwhere=st.+gallen	Kloster-Bistro	Klosterhof 6e	 9000 St. Gallen	071 222 21 12		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/Schonengrund/9105/Conference-Hotels/Chaseren-mI5ekdduk2ZfJcrvDKSnHA?dwhat=hotel&dwhere=st.+gallen	Chäseren	Chäserenstrasse 327	 9105 Schönengrund	071 361 17 51	www.chaeseren.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/Abtwil-SG/9030/Travel-agency/Hotelplan-MTCH-AG--EEx874jHuRozjS2S07U_g?dwhat=hotel&dwhere=st.+gallen	Hotelplan, MTCH AG	Wiesenbachstrasse 7	 9030 Abtwil SG	071 314 70 70		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/Rorschacherberg/9404/Naturopathy/QuantiSana-Gesundheitszentrum-AG-kmiJ_n9moJjF8hro-ZRU-w?dwhat=hotel&dwhere=st.+gallen	QuantiSana Gesundheitszentrum AG	Wartensee 2	 9404 Rorschacherberg	071 544 95 62	www.quantisana.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/Altstatten-SG/9450/Secondhand-goods/Heilsarmee-brockich-Altstatten-X421dDzx_JNtbNtPPq-0Kw?dwhat=hotel&dwhere=st.+gallen	Heilsarmee brocki.ch/Altstätten	Kriessernstrasse 23	 9450 Altstätten SG	071 722 35 90	www.brocki.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/Gossau-SG/9200/Secondhand-goods/Heilsarmee-brockich-Gossau-StGallen-RNa84HqRUiKfHDXfdRvuDA?dwhat=hotel&dwhere=st.+gallen	Heilsarmee brocki.ch/Gossau-St.Gallen	Industriestrasse 135	 9200 Gossau SG	071 277 77 61	www.brocki.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/Abtwil-SG/9030/Medbase-yVEu11WSt0GOgedF3WDJ3Q?dwhat=hotel&dwhere=st.+gallen	Medbase	Wiesenbachstrasse 5	 9030 Abtwil SG	071 313 70 20		
