cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website	email	lat	lon	desc	imageslinks	openinghours
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Nail-cosmetics/Cosmetic-Nail-Harmonie-ONMX0dEdPbUGAM91nLW4hg?dwhat=nails&dwhere=st.+gallen	Cosmetic & Nail Harmonie	Zürcher Strasse 235	 9014 St. Gallen	071 277 24 71			47.410721	9.332779		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Fashion-Nails-maZUsxresBtgVp-jbFfClw?dwhat=nails&dwhere=st.+gallen	Fashion Nails	Linsebühlstrasse 41	 9000 St. Gallen	071 220 98 03			47.424717	9.382261		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Hairdresser/Hair-Nails-by-Elif-I-IwMmEEOYaU47MXwawtBA?dwhat=nails&dwhere=st.+gallen	Hair & Nails by Elif	Langgasse 71	 9008 St. Gallen	071 223 22 28			47.438837	9.390044		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Cosmetic-products/HNC-AG-Uq-tmcJX0IEZT6rA00agbw?dwhat=nails&dwhere=st.+gallen	HNC AG	Rorschacher Strasse 152	 9000 St. Gallen	071 282 90 20			47.431014	9.395604		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Jasmin-Beauty-SeIvpMepBbUpJHJCi4s9xw?dwhat=nails&dwhere=st.+gallen	Jasmin Beauty	Teufener Strasse 23	 9000 St. Gallen	078 613 20 16			47.419679	9.370426		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Nail-cosmetics/Lakic-Dobrila-jQBrL9CA5_6x51ganr5icA?dwhat=nails&dwhere=st.+gallen	Lakic Dobrila	Haggenhaldenstrasse 13	 9014 St. Gallen	071 279 28 55			47.406826	9.33928		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Mosler-Esther-J4VJL8eVc8KH3CuCkyqEvg?dwhat=nails&dwhere=st.+gallen	Mösler Esther	Oberer Graben 3	 9000 St. Gallen	071 222 04 11			47.425638	9.37454		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Nailart-Beautypoint-ua9hWEO89b2hJij3Wl6VBw?dwhat=nails&dwhere=st.+gallen	Nailart Beautypoint	Pestalozzistrasse 2	 9000 St. Gallen	071 220 33 64			47.420905	9.36758		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Naildesign-l9b1pCPPiPLyZN3Md5WFGw?dwhat=nails&dwhere=st.+gallen	Naildesign	Lindenstrasse 33	 9000 St. Gallen	079 589 69 97			47.43225	9.38849		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/SimoneNails-SHABA-Beauty-Cctt6uNbrkkBfSnKxynEMg?dwhat=nails&dwhere=st.+gallen	SimoneNails & SHABA - Beauty	Grossackerstrasse 10	 9000 St. Gallen	071 244 35 24			47.429275	9.39257		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hairdresser/Stylingpoint-XlsPmtVlZLSGfhgUX9eR5A?dwhat=nails&dwhere=st.+gallen	Stylingpoint	Brühlgasse 35	 9000 St. Gallen	071 220 86 46	www.stylingpoint.ch		47.425308	9.378651		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Nail-Studio-Orchidee-PhUn_lc5pJAUleydulCxIg?dwhat=nails&dwhere=st.+gallen	Nail Studio Orchidee	Mittelholzerstrasse 9	 9015 St. Gallen	078 696 58 81			47.401934	9.300478		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/Staad-SG/9422/Hair-removal/Nail-Beauty-Studio-5WVl5OJc5SX2nA4s5FRJGA?dwhat=nails&dwhere=st.+gallen	Nail & Beauty Studio	Hauptstrasse 21	 9422 Staad SG	071 845 22 07	www.nailstudio-staad.ch		47.48037	9.531342	Zu meiner Person: Violetta Zryd, geb. 8.6. 1974 Schon als Jugendliche hatte ich mich zwischen zwei meiner Lieblingsberufe zu entscheiden. Kosmetikerin oder Automechaniker. Ich habe mich für Automechaniker entschieden, den Abschluss gemacht, merkte aber später, wie sehr mich doch alles was mich mit Pflege und Sorgfalt dem Körper gegenüber faszinierte.So entschloss ich mich, 1996 zur Nailstylistin ausbilden zu lassen. Bei Firma You Cosmetics in Oftringen , einer der führenden Ausbildner in der Schweiz, machte ich mein Diplom. 1997. Seit dem Besuche ich aber immer wieder Kurse zur Weiterbildung in den Bereichen Nailart und Nailsysteme.. Hinzu kam im Jahr 2004 die Ausbildung zur Biologischen Haarentfernung,bei der Firma Shaba in Weinfelden, zur Haarentfernung mit „Zucker-Gel“. Eine Wohltat für die Haut und eine einfache Art, sich Gutes zu tun um eine weiche, „haarlose“ Haut zu bekommen. Im Jahr 2006 habe ich die Fusspflege-Ausbildung, bei der Firma Pedisana in Wallisellen, für kosmetische Fusspflege, das entfernen von Hüneraugen und auch die Frenchpedikür erlernt und absolviert. Seit 1998 führe ich mein eigenes Nail- & Beauty Studio zuerst in Rorschach in meiner Wohnung. Seit 2007 befindet sich das Studio in Staad in einem gepflegeten Ladenlokal. Jährliche Weiterbildungen sind für mich selbstverständlich, um meinen Kunden/Kundinnen immer fachgerecht beraten zu können. Die Arbeit macht mir sehr viel Freude, denn Gesundheit, Wohlbefinden und Pflege gehen für mich „Hand in Hand“.__________________________________Janine Meier, geboren am 17.02.1993 Schon als Kind war mir klar, dass ich einmal einen kreativen Beruf ausüben möchte, da ich schon immer voller Leidenschaft gezeichnet habe. Als ich aus der Schule kam, machte ich den Vorkurs zur Kunstschule an der Migros Klubschule. Ich hatte mich aber währenddessen für die Lehre als Fachfrau Betriebsunterhalt entschlossen, da ich erstmals eine Ausbildung abschliessen wollte.Nach der erfolgreich Abgeschlossenen Lehre erfuhr ich dass ich unter einer Hausstauballergie leide und musste diesen Beruf aufgeben. Durch eine Bekannte erfuhr ich von Violetta Zryd, und begann somit die Ausbildung zur Naildesignerin. Schon vom ersten Moment an merkte ich, wie sehr mir dieser Beruf gefällt da ich auch meine künstlerischen Fähigkeiten ausleben konnte. Im Sommer 2014 habe ich die Ausbildung abgeschlossen und erhielt das Diplom zur Naildesignerin und zur kosmetischen Fusspflege. Ich habe bereits einige Kurse besucht, unteranderem die Ausübung von Airbrush auf Nägel und einen Kurs für Sauberkeit und Hygiene im Studio. Ich freue mich schon auf die nächsten Weiterbildungen um meinen Horizont zu erweitern.	["//www.local.ch/images/bp/info-image-ad/68/685bbc8d076abc323b6b301bd471a0a11227593a/data.jpg","//www.local.ch/images/bp/info-image-ad/6a/6a3c41828028510a23b046e1bc850403cb107ae0/data.jpg","//www.local.ch/images/bp/info-image-ad/0d/0d56ecd59c5d47a1c3be4b9dd819f4a84b252465/data.jpg","//www.local.ch/images/bp/info-image-ad/f1/f1c6a2351026ca5b125ccbb698fbd3e7cc99cb82/data.jpg","//www.local.ch/images/bp/info-image-ad/4f/4f82a5494b3286b27af1d74a42567d7815c8a2d1/data.jpg"]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/Rorschach/9400/Nail-cosmetics/Top-Nails-Ym-FHWg4sSeFTPAUCSZI8w?dwhat=nails&dwhere=st.+gallen	Top Nails	Feldmühlestrasse 49	 9400 Rorschach	079 401 56 63	www.topnails-zeller.com		47.473451	9.488155		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/Abtwil-SG/9030/Nail-cosmetics/NailStudio-Franziska-_MmKcxa-SxQw2fAgoTOHpQ?dwhat=nails&dwhere=st.+gallen	NailStudio Franziska	Auwiesenstrasse 58B	 9030 Abtwil SG	071 311 62 06			47.423335	9.325565		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/Wittenbach/9300/Nail-cosmetics/A-A-Studio-fur-schone-Nagel-ehZxauNGZfGsF6TAgfQ-Yg?dwhat=nails&dwhere=st.+gallen	A A Studio für schöne Nägel	Grünaustrasse 26	 9300 Wittenbach	071 278 19 39			47.462568	9.384321		[]	
